                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.77364,                 0.5648,                 1.0218,                0.84708,                0.96154,                0.93276,                0.72288,                0.80924,                 3.5926,                0.96679,             0.00044909,             0.00044909,             0.00044909
                     35,                0.75916,                0.53775,                  1.024,                0.81468,                0.98037,                0.90436,                0.69448,                0.81786,                 3.2623,                0.95577,             0.00044249,             0.00044249,             0.00044249
                     36,                0.71788,                0.50565,                0.99183,                0.81434,                0.99816,                0.96263,                  0.748,                0.80271,                 3.6104,                0.96522,             0.00043588,             0.00043588,             0.00043588
                     37,                0.72815,                0.49526,                0.99434,                0.83065,                      1,                0.96619,                0.74479,                0.81785,                 3.3868,                 0.9658,             0.00042928,             0.00042928,             0.00042928
                     38,                0.73574,                0.51467,                 1.0073,                0.81159,                0.95986,                0.94676,                 0.7653,                0.74425,                 2.5411,                0.92597,             0.00042268,             0.00042268,             0.00042268
                     39,                0.70675,                0.49518,                0.98541,                0.79804,                0.96154,                0.93498,                0.72283,                0.80014,                 2.8344,                0.93408,             0.00041607,             0.00041607,             0.00041607
                     40,                0.70265,                0.51122,                0.99288,                0.80837,                0.98077,                0.95956,                0.74846,                0.88377,                 2.6781,                 1.0441,             0.00040947,             0.00040947,             0.00040947
                     41,                0.69556,                0.50234,                0.98874,                0.78062,                0.98077,                0.95137,                0.75113,                0.83517,                 3.8523,                0.97965,             0.00040287,             0.00040287,             0.00040287
                     42,                0.67306,                0.46834,                0.98084,                0.78594,                0.98077,                0.94556,                0.73886,                0.86386,                 3.6067,                0.95261,             0.00039626,             0.00039626,             0.00039626
                     43,                0.67499,                0.47301,                0.98801,                0.84906,                0.92821,                0.96146,                0.76179,                0.80482,                 3.5506,                0.94781,             0.00038966,             0.00038966,             0.00038966
                     44,                0.68074,                0.47683,                0.99326,                0.82756,                0.96941,                0.93458,                 0.7321,                0.81411,                 3.0763,                0.92738,             0.00038306,             0.00038306,             0.00038306
                     45,                0.68025,                 0.4675,                0.98889,                0.84618,                 0.9461,                 0.9506,                0.75089,                 0.8205,                 3.2818,                0.96553,             0.00037645,             0.00037645,             0.00037645
                     46,                0.65898,                0.45092,                0.97551,                0.79037,                0.99835,                0.96167,                0.74252,                0.81972,                 3.3439,                0.98107,             0.00036985,             0.00036985,             0.00036985
                     47,                0.67017,                 0.4479,                0.97875,                0.85528,                      1,                0.95385,                0.77939,                0.76748,                 3.5547,                0.92638,             0.00036325,             0.00036325,             0.00036325
                     48,                0.65917,                0.45499,                0.96987,                0.81532,                0.98077,                0.95235,                0.77804,                0.76303,                 2.8299,                0.93042,             0.00035664,             0.00035664,             0.00035664
                     49,                0.64411,                0.44511,                0.96331,                0.77268,                      1,                0.94621,                0.75571,                0.74903,                 3.2673,                0.92477,             0.00035004,             0.00035004,             0.00035004
                     50,                0.63424,                0.42658,                0.96987,                0.82383,                0.98077,                0.95224,                0.76961,                0.78252,                  2.817,                0.91836,             0.00034344,             0.00034344,             0.00034344
                     51,                0.63293,                0.43516,                0.97566,                0.81134,                0.98077,                 0.9354,                0.75023,                0.76977,                 3.6398,                0.94069,             0.00033683,             0.00033683,             0.00033683
                     52,                0.61355,                0.44587,                 0.9633,                0.87819,                0.98077,                0.95558,                0.75525,                0.81213,                 2.8159,                0.97924,             0.00033023,             0.00033023,             0.00033023
