                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4087,                0.96534,                  1.053,                0.38611,                0.21359,                0.20125,                0.05535,                 2.7237,                 2.0792,                0.87019,              0.0006932,              0.0006932,              0.0006932
                     35,                  1.482,                 1.0675,                 1.0724,                0.57065,                0.23301,                0.26229,                0.06342,                 2.6723,                 1.9392,                0.86835,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.5323,                  1.114,                 1.0517,                0.49945,                0.24219,                0.25846,                0.06624,                 2.5873,                 1.8876,                0.86236,               0.000614,               0.000614,               0.000614
                     37,                 1.4243,                 1.0168,                 1.0419,                0.38263,                0.24272,                0.21655,                0.06633,                 2.5993,                 1.9594,                0.87059,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.3418,                0.94439,                0.96995,                0.67344,                 0.2233,                0.24148,                 0.0708,                 2.6449,                 1.8889,                0.85786,              0.0005348,              0.0005348,              0.0005348
                     39,                  1.496,                0.96253,                 1.0624,                0.58248,                0.23031,                0.24774,                0.07407,                 2.7729,                 1.9698,                0.87046,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.4413,                0.93351,                0.94919,                0.65974,                0.20388,                0.22419,                0.06952,                 2.6222,                 2.0196,                0.85533,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.5343,                0.96564,                0.98044,                0.42866,                 0.2233,                0.20826,                0.06978,                 2.6679,                 2.0903,                0.85278,               0.000416,               0.000416,               0.000416
                     42,                 1.4835,                0.94362,                0.95015,                0.53843,                0.25243,                0.23633,                0.06835,                 2.7743,                 2.0242,                0.85294,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.3974,                 0.9027,                0.95946,                  0.519,                0.25243,                0.25376,                0.06822,                 2.7116,                 1.9784,                0.84017,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.4259,                0.87645,                0.94645,                0.48876,                0.26214,                0.26913,                0.07693,                 2.5626,                 1.9256,                0.83924,              0.0002972,              0.0002972,              0.0002972
                     45,                 1.3831,                0.93324,                0.96201,                 0.4922,                0.24272,                0.23536,                0.07772,                 2.6072,                 1.8333,                0.85431,              0.0002576,              0.0002576,              0.0002576
                     46,                 1.3653,                 0.8406,                0.94843,                 0.5894,                0.27184,                0.27966,                0.07684,                 2.6433,                 1.8296,                0.85412,               0.000218,               0.000218,               0.000218
                     47,                 1.3487,                0.83158,                0.94325,                0.52203,                0.26214,                0.26391,                0.07366,                 2.6189,                 1.9246,                0.84466,              0.0001784,              0.0001784,              0.0001784
                     48,                 1.3515,                0.88189,                 0.9417,                0.68165,                0.26214,                 0.2901,                0.08317,                 2.5775,                 1.9057,                0.84022,              0.0001388,              0.0001388,              0.0001388
                     49,                 1.3726,                0.83413,                0.94642,                0.64399,                0.25243,                0.26732,                0.07609,                 2.7025,                 1.9385,                 0.8449,               9.92e-05,               9.92e-05,               9.92e-05
